"","to1820","to1840","to1860","to1880","to1900","to1920","to1940","to1960","to1980","to2000","to2016","after2016"
"Solidago nemoralis",0,0,1,4,33,88,42,4,5,1,4,0
"Solidago odora",0,0,1,3,31,59,16,11,0,3,1,0
"Solidago rugosa",0,0,1,7,13,99,42,5,5,0,6,0
"Sparganium eurycarpum",0,0,0,6,11,28,9,2,2,2,0,0
"Spiraea alba",0,0,0,0,0,0,0,0,0,0,1,0
"Spiraea tomentosa",0,0,1,7,30,81,29,5,4,1,0,0
"Symphyotrichum cordifolium",0,0,1,7,33,69,21,5,2,3,3,0
"Symphyotrichum dumosum",0,0,1,3,39,91,36,14,2,2,2,0
"Symphyotrichum racemosum",0,0,0,9,36,59,41,15,2,1,0,0
"Symplocarpus foetidus",0,0,0,2,44,38,20,17,4,3,0,0
"Thalictrum dioicum",0,0,4,2,41,51,20,2,1,2,1,0
"Thalictrum pubescens",0,0,0,13,41,92,25,16,2,1,0,0
"Thalictrum thalictroides",0,0,1,8,47,49,20,3,1,1,0,0
"Toxicodendron radicans",0,0,0,3,20,61,20,11,3,1,0,0
"Toxicodendron vernix",0,0,1,4,23,35,17,4,6,1,0,0
"Triadenum virginicum",0,0,3,4,26,59,28,8,2,2,1,0
"Trichostema dichotomum",0,0,3,3,32,62,28,21,1,4,2,0
"Trillium cernuum",0,1,1,5,32,43,23,4,2,1,0,0
"Trillium grandiflorum",0,0,0,0,1,0,0,1,0,2,0,0
"Triodanis perfoliata",0,0,1,4,32,55,10,2,5,1,1,0
"Uvularia sessilifolia",0,0,1,10,45,80,40,6,2,3,1,0
"Vaccinium angustifolium",0,1,0,2,16,94,25,9,1,4,2,0
"Vaccinium corymbosum",0,1,3,11,68,302,91,16,3,6,2,0
"Vaccinium macrocarpon",0,0,3,8,41,72,31,14,4,7,0,0
"Vaccinium oxycoccos",0,0,3,0,13,31,6,3,1,2,0,0
"Vaccinium pallidum",0,0,2,3,27,100,25,6,2,1,1,0
"Vernonia noveboracensis",0,1,2,5,16,16,12,1,2,2,0,0
"Veronica scutellata",0,0,3,5,19,34,19,8,1,2,2,0
"Viburnum acerifolium",0,0,1,0,0,0,0,0,1,0,0,0
"Viburnum lentago",0,0,3,4,44,49,28,9,2,3,0,0
"Viburnum nudum",0,0,0,1,4,1,2,0,0,0,0,0
"Viola blanda",0,0,0,6,21,156,28,7,1,5,1,0
"Viola cucullata",0,0,0,4,28,163,31,5,1,2,0,0
"Viola labradorica",0,0,1,10,39,104,26,4,5,3,1,0
"Viola lanceolata",0,0,2,12,47,113,31,5,0,1,2,0
"Viola pedata",0,0,1,8,37,77,33,10,1,1,0,0
"Viola pubescens",0,0,1,9,48,136,37,4,2,7,0,0
"Viola sagittata",0,0,0,1,6,24,2,0,0,0,0,0
"Vitis aestivalis",0,0,1,3,15,27,9,13,1,4,1,0
"Vitis labrusca",0,0,1,6,36,86,33,12,8,2,3,0
"Xanthorhiza simplicissima",0,0,0,0,2,4,2,0,1,0,1,0
